t_inf	y_d
7648	1.57
7653	1.86
7658	1.80
7663	1.45
7668	1.63
7673	1.89
7678	1.70
7683	2.12
7688	2.34
7693	1.93
7698	1.31
7703	1.55
7708	2.00
7713	1.44
7718	1.93
7723	1.53
7728	1.39
7733	1.57
7738	1.52
7743	1.42
7748	1.32
7753	1.77
7758	1.59
7763	1.45
7768	1.46
7773	1.53
7778	1.64
7783	1.59
7788	1.61
7793	1.83
7798	1.62
7803	1.44
7808	1.45
7813	1.50
7818	1.54
7823	1.53
7828	1.77
7833	1.82
7838	1.44
7843	1.51
7848	1.79
7853	1.84
7858	1.88
7863	1.70
7868	1.72
7873	1.60
7878	1.99
7883	1.65
7888	1.29
7893	1.42
7898	1.45
7903	1.69
7908	1.52
7913	1.41
7918	1.49
7923	1.60
7928	1.76
7933	1.73
7938	1.87
7943	1.99
7948	1.89
7953	1.49
7958	1.66
7963	1.87
7968	1.92
7973	1.38
7978	1.66
7983	1.65
7988	1.64
7993	1.79
7998	1.85
8003	1.33
8008	1.15
8013	1.49
8018	1.44
8023	1.47
8028	1.47
8033	1.44
8038	1.43
8043	1.66
8048	1.77
8053	1.65
8058	1.63
8063	1.69
8068	1.77
8073	1.79
8078	1.70
8083	1.65
8088	1.62
8093	1.50
8098	1.32
8103	1.47
8108	1.48
8113	1.50
8118	1.54
8123	1.58
8128	1.57
8133	1.41
8138	1.82
8143	1.83
8148	1.88
8153	1.86
8158	1.80
8163	1.74
8168	1.65
8173	1.86
8178	1.77
8183	1.63
8188	1.68
8193	1.97
8198	2.06
8203	1.81
8208	1.79
8213	1.60
8218	1.39
8223	1.26
8228	1.51
8233	1.73
8238	1.73
8243	1.73
8248	1.73
8253	1.55
8258	1.26
8263	1.22
8268	1.42
8273	1.67
8278	1.37
8283	1.43
8288	1.27
8293	1.44
8298	1.28
8303	1.30
8308	1.67
8313	1.76
8318	1.51
8323	1.51
8328	1.69
8333	1.66
8338	1.50
8343	1.47
8348	1.52
8353	2.12
8358	2.03
8363	1.73
8368	1.46
8373	1.57
8378	1.83
8383	1.88
8388	1.87
8393	1.90
8398	1.65
8403	1.74
8408	1.77
8413	1.67
8418	1.73
8423	1.78
8428	1.80
8433	1.89
8438	1.92
8443	1.74
8448	1.52
8453	1.44
8458	1.47
8463	1.49
8468	1.63
8473	1.23
8478	1.33
8483	1.16
8488	1.18
8493	1.43
8498	1.51
8503	1.37
8508	1.35
8513	1.53
8518	1.40
8523	1.52
8528	1.55
8533	1.55
8538	1.43
8543	1.56
8548	1.69
8553	1.68
8558	1.65
8563	1.54
8568	1.57
8573	1.48
8578	1.38
8583	1.65
8588	1.27
8593	1.31
8598	1.47
8603	1.59
8608	1.63
8613	1.56
8618	1.36
8623	1.35
8628	1.46
8633	1.47
8638	1.50
8643	1.58
8648	1.66
8653	1.70
8658	1.69
8663	1.68
8668	1.72
8673	1.78
8678	1.75
8683	1.31
8688	1.29
8693	1.27
8698	1.22
8703	1.27
8708	1.47
8713	1.51
8718	1.35
8723	1.45
8728	1.44
8733	1.18
8738	1.13
8743	1.38
8748	1.62
8753	1.62
8758	1.48
8763	1.42
8768	1.44
8773	1.56
8778	1.54
8783	1.56
8788	1.65
8793	1.55
8798	1.40
8803	1.56
8808	1.42
8813	1.36
8818	1.22
8823	1.19
8828	1.31
8833	1.53
8838	1.54
8843	1.03
8848	1.15
8853	1.23
8858	1.25
8863	1.26
8868	1.30
8873	1.36
8878	1.44
8883	1.37
8888	1.44
8893	1.57
8898	1.58
8903	1.67
8908	1.59
8913	1.48
8918	1.45
8923	1.25
8928	1.36
8933	1.31
8938	1.32
8943	1.45
8948	1.45
8953	1.37
8958	1.44
8963	1.37
8968	1.48
8973	1.58
8978	1.71
8983	1.64
8988	1.68
8993	1.83
8998	1.86
9003	1.82
9008	1.68
9013	1.57
9018	1.54
9023	1.48
9028	1.63
9033	1.84
9038	1.75
9043	1.73
9048	1.83
9053	1.75
9058	1.60
9063	1.59
9068	1.61
9073	1.63
9078	1.60
9083	1.46
9088	1.21
9093	1.12
9098	1.14
9103	1.25
9108	1.41
9113	1.70
9118	1.75
9123	1.70
9128	1.58
9133	1.66
9138	1.92
9143	1.45
9148	1.56
9153	1.46
9158	1.61
9163	1.62
9168	1.36
9173	1.57
9178	2.32
9183	1.84
9188	1.49
9193	1.50
9198	1.47
9203	1.45
9208	1.53
9213	1.37
9218	1.49
9223	1.73
9228	1.74
9233	1.83
9238	1.84
9243	1.75
9248	1.59
9253	1.58
9258	2.13
9263	1.83
9268	1.61
9273	1.57
9278	1.55
9283	1.55
9288	1.62
9293	1.78
9298	1.83
9303	1.47
9308	1.76
9313	1.49
